C1_R,C1_NR,C2_R,C2_NR,C3_R,C3_NR,CC_R,CC_NR,TimeTaken,Likert
H,L,M,H,L,M,M,H,9167,FC
H,L,M,H,L,M,M,H,18017,SC
H,L,M,H,L,M,M,H,6435,CC
H,L,M,H,L,M,L,M,7057,CC
H,L,M,H,L,M,H,L,22628,CC
H,L,M,H,L,M,M,H,7487,FC
H,L,M,M,L,H,L,H,5992,CC
H,L,M,M,L,H,M,M,4744,SC
H,L,M,M,L,H,M,M,8536,FC
H,L,M,M,L,H,H,L,14652,CC
H,L,M,M,L,H,M,M,7206,FC
H,L,M,M,L,H,M,M,6990,FC
H,L,M,M,L,H,M,M,11961,FC
H,L,M,M,L,H,H,L,10337,CC
H,L,M,M,L,H,M,M,10312,FC
H,L,M,M,L,H,M,M,14319,CC
H,L,M,M,L,H,M,M,6408,CC
H,L,M,M,L,H,M,M,20311,FC
H,L,M,M,L,H,M,M,8333,FC
H,L,M,M,L,H,M,M,10202,CC
H,L,M,M,L,H,M,M,20129,SC
H,L,M,M,L,H,M,M,32511,SLC
H,L,M,M,L,H,M,M,17037,FC
H,L,M,M,L,H,M,M,12110,SC
H,L,M,M,L,H,M,M,5329,CC
H,L,M,M,L,H,M,M,10541,FC
H,L,M,M,L,H,M,M,15258,SC
H,L,M,M,L,H,L,H,9558,CC
H,L,M,M,L,H,M,M,8924,CC
H,L,M,M,L,H,M,M,6263,FC
H,L,M,M,L,H,M,M,9447,CC
H,L,M,M,L,H,H,L,4000,CC
H,L,M,M,L,H,M,M,19575,SC
H,L,M,M,L,H,H,L,5450,SC
H,L,M,M,L,H,M,M,5648,CC
H,L,M,M,L,H,L,H,6742,CC
H,L,M,M,L,H,M,M,9318,FC
H,L,M,M,L,H,L,H,3333,CC
H,L,M,M,L,H,M,M,11454,FC
H,L,M,M,L,H,L,H,22744,FC
H,L,M,M,L,H,M,M,11159,CC
H,L,M,M,L,H,L,H,6152,CC
H,L,M,M,L,H,L,H,6455,CC
H,L,M,M,L,H,L,H,8364,FC
H,L,M,M,L,H,M,M,10143,CC
H,L,M,M,L,H,L,H,8311,CC
H,L,M,M,L,H,L,H,11945,FC
H,L,M,M,L,H,M,M,31167,FC
H,L,M,M,L,H,L,H,10654,SC
H,L,M,M,L,H,L,H,8790,CC
H,L,M,M,L,H,L,H,10941,FC
H,L,M,M,L,H,M,M,6105,CC
H,L,M,M,L,H,L,H,5522,CC
H,L,M,M,L,H,M,M,8867,CC
H,L,M,M,L,H,L,H,5446,FC
H,L,M,M,L,H,H,L,18346,FC
L,M,M,H,H,L,L,L,4335,CC
L,M,M,H,H,L,H,L,3128,SC
L,M,M,H,H,L,H,L,6766,SC
L,M,M,H,H,L,H,L,5399,CC
L,M,M,H,H,L,M,H,5967,CC
L,M,M,H,H,L,M,H,5903,CC
L,M,M,H,H,L,M,H,11002,FC
L,M,M,H,H,L,M,H,7071,CC
L,M,M,H,H,L,H,L,15616,FC
L,M,M,H,H,L,M,H,13904,CC
L,M,M,H,H,L,H,L,8480,CC
L,M,M,H,H,L,M,H,8512,FC
L,M,M,H,H,L,H,L,6908,CC
L,M,M,H,H,L,M,H,16073,CC
L,M,M,H,H,L,M,H,8119,CC
L,M,M,H,H,L,M,H,7108,FC
L,M,M,H,H,L,H,L,6295,FC
L,M,M,H,H,L,M,H,11319,SC
L,M,M,H,H,L,H,L,10727,FC
L,M,M,H,H,L,H,L,5134,FC
L,M,M,H,H,L,H,L,4548,CC
L,M,M,H,H,L,H,L,15834,CC
L,M,M,H,H,L,M,H,8578,CC
L,M,M,H,H,L,M,H,4324,FC
L,M,M,H,H,L,H,L,9539,FC
L,L,H,H,M,M,M,M,5041,CC
L,L,H,H,M,M,H,H,2992,CC
L,L,H,H,M,M,H,H,9236,CC
L,L,H,H,M,M,H,H,10289,CC
L,L,H,H,M,M,H,H,8219,FC
L,L,H,H,M,M,H,H,7157,FC
L,L,H,H,M,M,H,H,3596,CC
L,L,H,H,M,M,H,H,10512,FC
L,L,H,H,M,M,H,H,11248,CC
L,L,H,H,M,M,H,H,8712,CC
L,L,H,H,M,M,H,H,13912,CC
L,L,H,H,M,M,H,H,26352,FC
L,L,H,H,M,M,H,H,6941,CC
L,L,H,H,M,M,H,H,3353,CC
L,L,H,H,M,M,H,H,63125,CC
L,L,H,H,M,M,H,H,14998,CC
L,L,H,H,M,M,H,H,4516,CC
L,L,H,H,M,M,H,H,6059,FC
L,L,H,H,M,M,H,H,5956,CC
L,L,H,H,M,M,H,H,7796,FC
L,L,H,H,M,M,H,H,15241,CC
L,L,H,H,M,M,H,H,14715,CC
L,L,H,H,M,M,H,H,8822,FC
L,L,H,H,M,M,H,H,7379,FC
L,L,H,H,M,M,H,H,11496,CC
H,L,M,H,L,M,H,L,2808,CC
H,L,M,H,L,M,M,H,5800,FC
H,L,M,H,L,M,H,L,6011,FC
H,L,M,H,L,M,M,H,24345,FC
H,L,M,H,L,M,M,H,4680,FC
H,L,M,H,L,M,M,H,4414,FC
H,L,M,H,L,M,M,H,4669,FC
H,L,M,H,L,M,M,H,11111,FC
H,L,M,H,L,M,M,H,38384,CC
H,L,M,H,L,M,M,H,6639,CC
H,L,M,H,L,M,M,H,6848,CC
H,L,M,H,L,M,M,H,8080,CC
H,L,M,H,L,M,M,H,6177,FC
H,L,M,H,L,M,M,H,11236,CC
H,L,M,H,L,M,M,H,8251,FC
H,L,M,H,L,M,M,H,8500,FC
H,L,M,H,L,M,H,L,11959,FC
H,L,M,H,L,M,M,H,5782,FC
H,L,M,H,L,M,M,H,6588,CC
H,L,M,H,L,M,M,H,7551,FC
H,L,M,H,L,M,M,H,11903,CC
H,L,M,H,L,M,L,M,16483,CC
H,L,M,H,L,M,L,M,10773,CC
H,L,M,H,L,M,M,H,6783,FC
H,L,M,H,L,M,M,H,15992,SC
H,L,M,M,L,H,L,H,3368,CC
H,L,M,M,L,H,M,M,3347,FC
H,L,M,M,L,H,M,M,8887,FC
H,L,M,M,L,H,M,M,11228,FC
H,L,M,M,L,H,M,M,5144,FC
H,L,M,M,L,H,M,M,5097,FC
H,L,M,M,L,H,M,M,5363,FC
